,x,use,BB-KA,BB-KE,BB-12/21
10,Organism.ArterialBlood.Volume..l.,,,,
12,Organism.Bone.Volume..l.,,,,
13,Organism.Brain.Volume..l.,,,,
15,Organism.Fat.Volume..l.,,,,
16,Organism.Fat.Vf..neutral.lipid..PT,,,,
17,Organism.Fat.Vf..lipid.,,,,
18,Organism.Fat.Vf..phospholipid..PT,,,,
2,Organism.Weight..kg.,yes,y,y,y
22,Organism.Fat.Vf..neutral.lipid..WS,,,,
23,Organism.Fat.Vf..neutral.lipid..RR,,,,
24,Organism.Fat.Vf..neutral.phospholipid..plasma..WS,,,,
25,Organism.Fat.Vf..neutral.phospholipid..RR,,,,
3,Organism.BMI..kg.dmÂ².,,,,
30,Organism.Gonads.Volume..l.,,,,
32,Organism.Heart.Volume..l.,,,,
34,Organism.Kidney.Volume..l.,,,,
4,Organism.Age..year.s..,,,,
41,Organism.Lumen.Stomach.Distal.radius..dm.,yes,,,y
45,Organism.Lumen.Stomach.Length..dm.,,,,
46,Organism.Lumen.Stomach.Proximal.radius..dm.,,,,
47,Organism.Lumen.Duodenum.Effective.surface.area.enhancement.factor,,,,
48,Organism.Lumen.UpperJejunum.Effective.surface.area.enhancement.factor,,,,
49,Organism.Lumen.LowerJejunum.Effective.surface.area.enhancement.factor,,,,
50,Organism.Lumen.UpperIleum.Effective.surface.area.enhancement.factor,,,,
51,Organism.Lumen.LowerIleum.Effective.surface.area.enhancement.factor,,,,
52,Organism.Lumen.Caecum.Effective.surface.area.enhancement.factor,,,,
53,Organism.Lumen.ColonAscendens.Effective.surface.area.enhancement.factor,,,,
54,Organism.Lumen.ColonTransversum.Effective.surface.area.enhancement.factor,,,,
55,Organism.Lumen.ColonDescendens.Effective.surface.area.enhancement.factor,,,,
56,Organism.Lumen.ColonSigmoid.Effective.surface.area.enhancement.factor,,,,
57,Organism.Lumen.Rectum.Effective.surface.area.enhancement.factor,,,,
58,Organism.Stomach.Volume..l.,,,,
61,Organism.SmallIntestine.Volume..l.,,,,
63,Organism.LargeIntestine.Large.intestinal.transit.time..min.,,,,
64,Organism.LargeIntestine.Volume..l.,,,,
66,Organism.Liver.Volume..l.,yes,,y,
68,Organism.Lung.Volume..l.,,,,
7,Organism.Height..dm.,,,,
70,Organism.Muscle.Volume..l.,,,,
8,Organism.Hematocrit,,,,
80,Organism.Pancreas.Volume..l.,,,,
82,Organism.PortalVein.Volume..l.,,,,
83,Organism.Skin.Volume..l.,,,,
85,Organism.Spleen.Volume..l.,,,,
9,Organism.VenousBlood.Volume..l.,,,,
11,Organism.Bone.Specific.blood.flow.rate..l.min.kg.organ.,,,,
14,Organism.Brain.Specific.blood.flow.rate..l.min.kg.organ.,,,,
19,Organism.Fat.Fraction.interstitial,yes,y,y,y
20,Organism.Fat.Vf..water..PT,,,,
21,Organism.Fat.Vf..water.,,,,
26,Organism.Fat.Vf..extracellular.water..RR,,,,
27,Organism.Fat.Vf..water..WS,,,,
28,Organism.Fat.Vf..intracellular.water..RR,,,,
31,Organism.Gonads.Specific.blood.flow.rate..l.min.kg.organ.,,,,
39,Organism.Kidney.Specific.blood.flow.rate..l.min.kg.organ.,,,,
43,Organism.Lumen.Stomach.Gastric.emptying.time..min.,,,,
59,Organism.Stomach.Specific.blood.flow.rate..l.min.kg.organ.,,,,
62,Organism.SmallIntestine.Specific.blood.flow.rate..l.min.kg.organ.,,,,
65,Organism.LargeIntestine.Specific.blood.flow.rate..l.min.kg.organ.,,,,
67,Organism.Liver.Specific.blood.flow.rate..l.min.kg.organ.,,,,
71,Organism.Muscle.Vf..protein.,,,,
72,Organism.Muscle.Vf..water..PT,,,,
73,Organism.Muscle.Vf..water.,,,,
74,Organism.Muscle.Fraction.interstitial,,,,
75,Organism.Muscle.Vf..protein..WS,,,,
76,Organism.Muscle.Vf..extracellular.water..RR,,,,
77,Organism.Muscle.Vf..water..WS,,,,
78,Organism.Muscle.Vf..intracellular.water..RR,,,,
81,Organism.Pancreas.Specific.blood.flow.rate..l.min.kg.organ.,,,,
84,Organism.Skin.Specific.blood.flow.rate..l.min.kg.organ.,,,,
86,Organism.Spleen.Specific.blood.flow.rate..l.min.kg.organ.,,,,
89,CYP2D6.Ontogeny.factor,,,,
1,Gender,yes,,,y
29,Organism.Fat.Specific.blood.flow.rate..l.min.kg.organ.,,,,
33,Organism.Heart.Specific.blood.flow.rate..l.min.kg.organ.,,,,
37,Organism.Kidney.Aging.half.time..year.s..,,,,
69,Organism.Lung.Fraction.vascular,,,,
79,Organism.Muscle.Specific.blood.flow.rate..l.min.kg.organ.,yes,,,y
5,Organism.Ontogeny.factor..alpha1.acid.glycoprotein.,yes,,,y
6,Organism.Ontogeny.factor..albumin.,,,,
35,Organism.Kidney.Hill.coefficient.for.GFR,,,,
36,Organism.Kidney.GFRmat..l.min.,,,,
38,Organism.Kidney.TM50.for.GFR..week.s..,,,,
40,Organism.Lumen.Effective.surface.area.variability.factor,yes,,,y
42,Organism.Lumen.Stomach.GET_beta..Weibull.function..variability.factor,yes,,,y
44,Organism.Lumen.Stomach.GET_alpha..Weibull.function..variability.factor,yes,y,,
60,Organism.SmallIntestine.Small.intestinal.transit.time..min.,,,,
87,CYP1A2.Ontogeny.factor,yes,y,y,
88,CYP1A2.Ontogeny.factor.GI,,,,
90,CYP2D6.Ontogeny.factor.GI,,,,
91,CYP1A2.t1.2..liver...min.,yes,,y,
